,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,
441,Rubén Peña,es ESP,MFFW,Villarreal,30,1991,7,1,132,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1.1,1.3,0.17,0.72,0.89,0.17,0.89,Matches,
442,Alberto Perea,es ESP,MF,Cádiz,30,1990,18,8,777,8.6,0,1,0,0,0,2,0,0,0.12,0.12,0,0.12,0.9,0.9,0.6,1.5,0.1,0.07,0.18,0.1,0.18,Matches,
443,Victor Perea,es ESP,DF,Espanyol,21,2000,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
444,Iñigo Pérez,es ESP,MF,Osasuna,33,1988,10,4,338,3.8,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.1,0.1,0.9,1,0.02,0.24,0.26,0.02,0.26,Matches,
445,Juan Pérez,es ESP,GK,Osasuna,25,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
446,Kike Pérez,es ESP,FWMF,Elche,24,1997,12,5,519,5.8,2,0,2,0,0,1,0,0.35,0,0.35,0.35,0.35,1.1,1.1,1,2.1,0.2,0.17,0.37,0.2,0.37,Matches,
447,Lucas Pérez,es ESP,FWMF,Cádiz,32,1988,15,11,1060,11.8,3,2,3,0,0,1,0,0.25,0.17,0.42,0.25,0.42,3.3,3.3,2.4,5.7,0.28,0.2,0.49,0.28,0.49,Matches,
448,Lucas Pérez,es ESP,FW,Elche,32,1988,18,16,1266,14.1,2,1,2,0,0,0,0,0.14,0.07,0.21,0.14,0.21,2.5,2.5,1.3,3.8,0.18,0.09,0.27,0.18,0.27,Matches,
449,Njego_ Petrovi_,rs SRB,MF,Granada,22,1999,15,10,918,10.2,0,1,0,0,0,5,0,0,0.1,0.1,0,0.1,1.1,1.1,0.2,1.3,0.11,0.02,0.13,0.11,0.13,Matches,
450,Alex Petxa,es ESP,DFMF,Athletic Club,24,1997,17,1,412,4.6,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.04,0.04,0.08,0.04,0.08,Matches,
