,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
10,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,24-027,1997,3,2,179,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-206,1992,19,19,1702,18.9,1,3,1,0,0,1,0,0.05,0.16,0.21,0.05,0.21,0.6,0.6,1.7,2.3,0.03,0.09,0.12,0.03,0.12,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,22-362,1999,17,14,1236,13.7,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.1,2.1,0.07,0.08,0.15,0.07,0.15,Matches
13,Jordi Alba\4601e194,es ESP,DF,Barcelona,32-301,1989,14,14,1240,13.8,0,4,0,0,0,3,0,0.00,0.29,0.29,0.00,0.29,0.8,0.8,2.2,3.0,0.06,0.16,0.22,0.06,0.22,Matches
14,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,36-134,1985,15,15,1350,15.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
15,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,28-139,1993,9,5,408,4.5,0,2,0,0,0,1,0,0.00,0.44,0.44,0.00,0.44,1.3,1.3,1.6,2.9,0.29,0.35,0.64,0.29,0.64,Matches
16,Omar Alderete\bb08bce9,py PAR,DF,Valencia,25-021,1996,17,16,1389,15.4,2,0,2,0,0,9,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.2,0.9,0.04,0.01,0.06,0.04,0.06,Matches
17,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,26-340,1995,6,2,289,3.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.04,0.05,0.02,0.05,Matches
18,Carles Aleñá\6c811eb7,es ESP,MFFW,Getafe,24-011,1998,19,19,1470,16.3,0,2,0,0,0,4,1,0.00,0.12,0.12,0.00,0.12,0.9,0.9,1.6,2.5,0.05,0.10,0.15,0.05,0.15,Matches
19,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,21-294,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
