,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
143,Hugo Duro\37e103f8,es ESP,MFFW,Valencia,22-067,1999,16,13,1062,11.8,5,1,5,0,0,2,1,0.42,0.08,0.51,0.42,0.51,2.6,2.6,0.7,3.2,0.22,0.06,0.27,0.22,0.27,Matches
144,Hugo Duro\37e103f8,es ESP,DFMF,Getafe,22-067,1999,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.84,0.00,0.84,0.84,0.84,Matches
145,Aritz Elustondo\f7dc2ae5,es ESP,DF,Real Sociedad,27-294,1994,18,16,1442,16.0,3,1,3,0,0,3,1,0.19,0.06,0.25,0.19,0.25,1.1,1.1,0.1,1.2,0.07,0.01,0.08,0.07,0.08,Matches
146,Adri Embarba\db8f0eba,es ESP,MFFW,Espanyol,29-254,1992,19,19,1481,16.5,0,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,2.1,2.1,2.1,4.2,0.13,0.13,0.25,0.13,0.25,Matches
147,Emerson\df8b52a5,br BRA,DF,Barcelona,23-002,1999,3,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
148,Youssef En-Nesyri\04e17fd5,ma MAR,FW,Sevilla,24-229,1997,8,5,471,5.2,3,1,2,1,1,0,0,0.57,0.19,0.76,0.38,0.57,3.0,2.2,1.2,3.4,0.57,0.23,0.80,0.42,0.65,Matches
149,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Alavés,28-295,1993,1,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
150,Aarón Escandell\67669ce7,es ESP,GK,Granada,26-111,1995,4,3,284,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
151,Sergio Escudero\b0616e3d,es ESP,DFMF,Granada,32-136,1989,15,4,459,5.1,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.5,0.5,0.8,1.3,0.09,0.16,0.25,0.09,0.25,Matches
152,Alfonso Espino\db001fa9,uy URU,DF,Cádiz,30-011,1992,20,20,1800,20.0,2,0,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.7,0.5,2.4,2.8,0.03,0.12,0.15,0.02,0.14,Matches
153,Estanis\ace50e9f,es ESP,FW,Barcelona,18-145,2003,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
154,Pervis Estupiñán\d38fdf53,ec ECU,DF,Villarreal,23-360,1998,16,10,932,10.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.8,1.4,0.05,0.08,0.13,0.05,0.13,Matches
155,Abdessamad Ezzalzouli\bed68338,ma MAR,FWDF,Barcelona,20-030,2001,9,5,510,5.7,1,0,1,0,0,4,0,0.18,0.00,0.18,0.18,0.18,1.3,1.3,0.6,1.9,0.22,0.11,0.33,0.22,0.33,Matches
156,Radamel Falcao\66116290,co COL,FW,Rayo Vallecano,35-340,1986,12,5,458,5.1,5,0,5,0,0,1,0,0.98,0.00,0.98,0.98,0.98,2.5,2.5,0.0,2.5,0.48,0.00,0.49,0.48,0.49,Matches
157,Fali\72a84002,es ESP,DFMF,Cádiz,28-157,1993,17,14,1110,12.3,0,2,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.3,0.3,0.4,0.7,0.02,0.03,0.06,0.02,0.06,Matches
158,Ansu Fati\0ba976e4,es ESP,FW,Barcelona,19-077,2002,5,3,213,2.4,3,0,3,0,0,0,0,1.27,0.00,1.27,1.27,1.27,1.0,1.0,0.7,1.7,0.44,0.29,0.74,0.44,0.74,Matches
159,Aleix Febas\38126309,es ESP,MF,Mallorca,25-348,1996,4,1,117,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
160,Nabil Fekir\bece776f,fr FRA,MF,Betis,28-182,1993,18,17,1495,16.6,4,3,4,0,0,7,0,0.24,0.18,0.42,0.24,0.42,3.4,3.4,3.7,7.1,0.20,0.22,0.43,0.20,0.43,Matches
161,Felipe\51a3c4c8,br BRA,DF,Atlético Madrid,32-245,1989,13,10,968,10.8,2,1,2,0,0,4,0,0.19,0.09,0.28,0.19,0.28,0.8,0.8,0.2,1.0,0.07,0.02,0.09,0.07,0.09,Matches
162,João Félix\8aafd64f,pt POR,FWMF,Atlético Madrid,22-067,1999,12,4,566,6.3,2,1,2,0,0,3,1,0.32,0.16,0.48,0.32,0.48,1.7,1.7,0.9,2.6,0.27,0.15,0.42,0.27,0.42,Matches
163,Aitor Fernández\a01c3d54,es ESP,GK,Levante,30-258,1991,11,11,986,11.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
164,Álex Fernández\aa677a35,es ESP,MFFW,Cádiz,29-093,1992,18,13,1246,13.8,3,1,2,1,2,2,0,0.22,0.07,0.29,0.14,0.22,2.4,0.9,0.6,1.5,0.17,0.04,0.22,0.06,0.11,Matches
165,Fernando\41f32541,br BRA,MFDF,Sevilla,34-175,1987,19,17,1526,17.0,1,1,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,0.7,0.7,0.3,1.0,0.04,0.02,0.06,0.04,0.06,Matches
166,Fidel\eb82b6f1,es ESP,MF,Elche,32-081,1989,17,17,1279,14.2,2,2,1,1,1,5,0,0.14,0.14,0.28,0.07,0.21,1.5,0.8,2.4,3.2,0.11,0.17,0.28,0.05,0.22,Matches
167,José Fontán\1827a42d,es ESP,DF,Celta Vigo,21-339,2000,5,2,178,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.06,0.02,0.08,0.06,0.08,Matches
168,Dimitri Foulquier\45e17712,fr FRA,DF,Valencia,28-299,1993,13,12,1094,12.2,0,1,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.2,0.6,0.03,0.02,0.05,0.03,0.05,Matches
169,Dimitri Foulquier\45e17712,fr FRA,DF,Granada,28-299,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
170,Juan Foyth\6c7762c3,ar ARG,DF,Villarreal,24-004,1998,14,14,1212,13.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.9,1.0,0.00,0.07,0.07,0.00,0.07,Matches
171,Enric Franquesa\40883e3a,es ESP,DF,Levante,24-324,1997,11,5,522,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
172,Jorge de Frutos\38ce1150,es ESP,MFFW,Levante,24-330,1997,17,14,1198,13.3,2,4,2,0,0,2,0,0.15,0.30,0.45,0.15,0.45,4.1,4.1,2.0,6.0,0.30,0.15,0.45,0.30,0.45,Matches
173,Javi Galán\a4b00319,es ESP,DF,Celta Vigo,27-058,1994,20,20,1768,19.6,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04,Matches
174,Iñigo Ruiz de Galarreta\91f7631f,es ESP,MF,Mallorca,28-163,1993,18,13,1087,12.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,1.0,0.04,0.04,0.08,0.04,0.08,Matches
175,Thiago Galhardo\766f48dd,br BRA,FWMF,Celta Vigo,32-180,1989,14,2,483,5.4,0,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,1.2,1.2,1.0,2.2,0.23,0.18,0.41,0.23,0.41,Matches
176,Álvaro García\90bbd822,es ESP,FWMF,Rayo Vallecano,29-081,1992,19,17,1493,16.6,5,2,5,0,0,3,0,0.30,0.12,0.42,0.30,0.42,4.1,4.1,2.3,6.4,0.25,0.14,0.38,0.25,0.38,Matches
177,Dani García\240d3a0b,es ESP,MF,Athletic Club,31-237,1990,20,18,1502,16.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,1.1,0.04,0.02,0.06,0.04,0.06,Matches
178,David García\3e42f707,es ESP,DF,Osasuna,27-336,1994,19,19,1710,19.0,3,0,3,0,0,5,0,0.16,0.00,0.16,0.16,0.16,0.7,0.7,0.1,0.8,0.04,0.00,0.04,0.04,0.04,Matches
179,Eric García\2bed3eab,es ESP,DF,Barcelona,21-007,2001,15,15,1240,13.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
180,Francisco Garcia\7226539b,es ESP,DF,Rayo Vallecano,22-155,1999,20,20,1800,20.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.9,1.4,0.02,0.05,0.07,0.02,0.07,Matches
181,Joan García\87b498b0,es ESP,GK,Espanyol,20-257,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
182,Manu García\6ed1a2a2,es ESP,MF,Alavés,24-014,1998,17,7,685,7.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.8,0.02,0.08,0.10,0.02,0.10,Matches
183,Raúl García\b418dbd4,es ESP,FW,Athletic Club,35-189,1986,19,13,1040,11.6,3,0,3,0,1,1,0,0.26,0.00,0.26,0.26,0.26,3.7,2.9,1.8,4.8,0.32,0.16,0.48,0.25,0.41,Matches
184,Rubén García\5c96b017,es ESP,FWMF,Osasuna,28-186,1993,19,16,1309,14.5,0,1,0,0,1,1,0,0.00,0.07,0.07,0.00,0.07,1.9,1.1,1.0,2.1,0.13,0.07,0.20,0.08,0.14,Matches
185,Saúl García\dafa5038,es ESP,FW,Alavés,27-068,1994,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
186,Unai García\4a633cfe,es ESP,DF,Osasuna,29-347,1992,14,13,1174,13.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.02,0.00,0.03,0.02,0.03,Matches
187,Mario Gaspar\fb5d47b3,es ESP,DF,Villarreal,31-053,1990,5,3,256,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.06,0.19,0.25,0.06,0.25,Matches
188,Óscar Gil\6652cf96,es ESP,DF,Espanyol,24-265,1997,11,9,804,8.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.6,0.03,0.04,0.06,0.03,0.06,Matches
189,Dani Gómez\0e5ddc7c,es ESP,FW,Levante,23-170,1998,13,4,452,5.0,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.7,0.7,0.3,1.0,0.15,0.05,0.20,0.15,0.20,Matches
190,Maxi Gómez\4c2e9442,uy URU,FW,Valencia,25-155,1996,15,13,1120,12.4,2,1,2,0,0,7,1,0.16,0.08,0.24,0.16,0.24,2.5,2.5,1.8,4.2,0.20,0.14,0.34,0.20,0.34,Matches
191,Moi Gómez\5a626448,es ESP,MFFW,Villarreal,27-207,1994,17,7,747,8.3,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.9,0.9,1.4,2.3,0.10,0.17,0.27,0.10,0.27,Matches
192,Papu Gómez\6e4df551,ar ARG,FWMF,Sevilla,33-335,1988,15,10,963,10.7,2,0,2,0,0,2,0,0.19,0.00,0.19,0.19,0.19,0.7,0.7,0.5,1.2,0.06,0.05,0.12,0.06,0.12,Matches
193,Sergi Gómez\bc6f5f06,es ESP,DF,Espanyol,29-294,1992,19,19,1679,18.7,1,2,1,0,0,1,1,0.05,0.11,0.16,0.05,0.16,0.8,0.8,0.8,1.6,0.04,0.04,0.08,0.04,0.08,Matches
194,Maxime Gonalons\b8c1de25,fr FRA,MF,Granada,32-312,1989,16,15,1128,12.5,0,1,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.6,0.8,0.02,0.05,0.07,0.02,0.07,Matches
195,Diego González\4ac7608e,es ESP,DF,Elche,26-353,1995,15,10,945,10.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.02,0.01,0.02,0.02,0.02,Matches
196,Édgar González\49d028db,es ESP,DF,Betis,24-290,1997,14,10,1062,11.8,0,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
197,Nicolás González\2c56a792,es ESP,MF,Barcelona,20-013,2002,17,11,911,10.1,2,1,2,0,0,2,0,0.20,0.10,0.30,0.20,0.30,1.4,1.4,1.2,2.6,0.14,0.12,0.25,0.14,0.25,Matches
198,Peter González\1ccd3dae,do DOM,DFFW,Real Madrid,19-175,2002,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,1.66,2.15,3.81,1.66,3.81,Matches
199,Roberto González\56545648,es ESP,FWMF,Betis,21-010,2001,4,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches
200,Gori\f3451c66,es ESP,MF,Espanyol,19-246,2002,1,0,9,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
201,Andoni Gorosabel\6f5f82c0,es ESP,DF,Real Sociedad,25-165,1996,15,12,1112,12.4,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.0,0.0,1.3,1.3,0.00,0.11,0.11,0.00,0.11,Matches
202,Jaume Grau\fc3d2006,es ESP,MF,Osasuna,24-256,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
203,Dominik Greif\30061f53,sk SVK,GK,Mallorca,24-285,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
204,Antoine Griezmann\df69b544,fr FRA,FWMF,Atlético Madrid,30-301,1991,13,12,877,9.7,3,1,3,0,0,2,0,0.31,0.10,0.41,0.31,0.41,2.3,2.3,1.7,4.0,0.24,0.17,0.41,0.24,0.41,Matches
205,Antoine Griezmann\df69b544,fr FRA,FW,Barcelona,30-301,1991,3,3,263,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.12,0.00,0.12,0.12,0.12,Matches
206,Arnaut Groeneveld\f08490a6,nl NED,FWMF,Villarreal,24-350,1997,12,10,794,8.8,5,2,5,0,0,1,0,0.57,0.23,0.79,0.57,0.79,5.7,5.7,0.5,6.2,0.65,0.06,0.71,0.65,0.71,Matches
207,Andrés Guardado\ef322658,mx MEX,MF,Betis,35-110,1986,17,10,924,10.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.04,0.03,0.06,0.04,0.06,Matches
208,Sergi Guardiola\32974271,es ESP,FW,Rayo Vallecano,30-232,1991,15,8,688,7.6,3,2,3,0,0,2,0,0.39,0.26,0.65,0.39,0.65,3.1,3.1,0.3,3.4,0.40,0.04,0.45,0.40,0.45,Matches
209,Nemanja Gudelj\0076ab7f,rs SRB,MFDF,Sevilla,30-061,1991,9,2,351,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.04,0.04,0.00,0.04,Matches
210,Gonçalo Guedes\e6bc67d7,pt POR,FWMF,Valencia,25-048,1996,20,19,1535,17.1,7,4,7,0,1,2,0,0.41,0.23,0.64,0.41,0.64,4.5,3.6,2.7,6.3,0.26,0.16,0.42,0.21,0.37,Matches
211,Ander Guevara\8e48dc61,es ESP,MF,Real Sociedad,24-193,1997,13,9,716,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03,Matches
212,John Guidetti\99bebd12,se SWE,FWMF,Alavés,29-276,1992,8,2,274,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.17,0.10,0.27,0.17,0.27,Matches
213,Hugo Guillamón\f7c12fbf,es ESP,MFDF,Valencia,21-350,2000,17,17,1398,15.5,1,0,1,0,0,5,1,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches
214,Gerard Gumbau\ac454a4f,es ESP,MF,Elche,27-029,1994,15,6,720,8.0,0,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.1,1.3,0.02,0.14,0.16,0.02,0.16,Matches
215,Jon Guridi\4c0a6a48,es ESP,MF,Real Sociedad,26-322,1995,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
216,Raúl Guti\0b2c8585,es ESP,MF,Elche,25-017,1996,16,10,951,10.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.05,0.02,0.06,0.05,0.06,Matches
217,Marcos Mauro López Gutiérrez\b3b62f94,ar ARG,DF,Cádiz,31-007,1991,3,1,136,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
218,Miguel Gutiérrez\7e98cff1,es ESP,DF,Real Madrid,20-173,2001,3,3,260,2.9,0,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,0.0,0.0,0.5,0.5,0.00,0.17,0.17,0.00,0.17,Matches
219,Munir El Haddadi\8696bc90,ma MAR,FW,Sevilla,26-137,1995,10,2,248,2.8,1,0,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,0.8,0.8,0.4,1.2,0.28,0.16,0.44,0.28,0.44,Matches
220,Varazdat Haroyan\be32269e,am ARM,DF,Cádiz,29-145,1992,15,15,1295,14.4,1,0,1,0,0,8,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.1,0.7,0.04,0.01,0.05,0.04,0.05,Matches
221,Eden Hazard\a39bb753,be BEL,FWMF,Real Madrid,31-009,1991,13,6,571,6.3,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,1.2,1.2,1.6,2.8,0.19,0.26,0.44,0.19,0.44,Matches
222,Kike Hermoso\dea912dc,es ESP,DF,Betis,22-159,1999,1,1,90,1.0,1,0,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.2,0.2,0.0,0.2,0.16,0.00,0.16,0.16,0.16,Matches
223,Mario Hermoso\555f3a0b,es ESP,DF,Atlético Madrid,26-212,1995,19,17,1500,16.7,0,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.4,1.0,0.04,0.03,0.06,0.04,0.06,Matches
224,Aridane Hernández\132ac341,gq EQG,DF,Osasuna,32-299,1989,6,6,519,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.02,0.00,0.03,0.02,0.03,Matches
225,Mario Hernández\90162357,es ESP,DF,Rayo Vallecano,22-356,1999,2,2,118,1.3,1,0,1,0,0,0,0,0.76,0.00,0.76,0.76,0.76,0.4,0.4,0.0,0.4,0.28,0.00,0.28,0.28,0.28,Matches
226,Héctor Herrera\a8542814,mx MEX,MF,Atlético Madrid,31-272,1990,9,2,281,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.14,0.09,0.23,0.14,0.23,Matches
227,Sergio Herrera\a4995f48,es ESP,GK,Osasuna,28-225,1993,19,19,1710,19.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
228,Yangel Herrera\e778654a,ve VEN,MF,Espanyol,24-009,1998,9,6,566,6.3,1,1,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,0.4,0.4,0.4,0.8,0.06,0.07,0.13,0.06,0.13,Matches
229,Matthew Hoppe\1bc432b7,us USA,FW,Mallorca,20-309,2001,3,1,106,1.2,0,1,0,0,0,0,0,0.00,0.85,0.85,0.00,0.85,0.1,0.1,0.2,0.3,0.09,0.13,0.22,0.09,0.22,Matches
230,Robert Ibáñez\c7429db3,es ESP,MF,Osasuna,28-300,1993,4,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.38,0.16,0.55,0.38,0.55,Matches
231,Vicente Iborra\ad1ffcfd,es ESP,MF,Villarreal,34-000,1988,8,4,345,3.8,0,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,0.3,0.3,0.6,0.9,0.07,0.15,0.22,0.07,0.22,Matches
232,Oussama Idrissi\34caa4b3,ma MAR,FWMF,Sevilla,25-324,1996,5,2,127,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.08,0.16,0.08,0.16,Matches
233,Iglesias\974322dc,es ESP,DF,Getafe,23-197,1998,10,4,340,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,Matches
234,Borja Iglesias\75645f0e,es ESP,FW,Betis,28-364,1993,16,6,562,6.2,3,0,2,1,1,1,0,0.48,0.00,0.48,0.32,0.32,3.9,3.1,0.8,3.9,0.62,0.13,0.75,0.50,0.63,Matches
235,Alexander Isak\8e92be30,se SWE,FW,Real Sociedad,22-117,1999,17,15,1173,13.0,4,1,3,1,1,2,0,0.31,0.08,0.38,0.23,0.31,4.9,4.1,1.0,5.1,0.37,0.07,0.45,0.32,0.39,Matches
236,Isco\a0b4bb3e,es ESP,MF,Real Madrid,29-270,1992,9,2,187,2.1,1,0,1,0,0,1,0,0.48,0.00,0.48,0.48,0.48,0.5,0.5,0.2,0.7,0.25,0.11,0.36,0.25,0.36,Matches
237,Nicolas Jackson\9c36ed83,sn SEN,FW,Villarreal,20-210,2001,3,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,2.56,0.00,2.56,2.56,2.56,Matches
238,Jakub Jankto\1ea5f91c,cz CZE,MFDF,Getafe,25-362,1996,9,3,303,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.04,0.04,0.08,0.04,0.08,Matches
239,Adnan Januzaj\4737cebe,be BEL,FWMF,Real Sociedad,26-345,1995,20,11,1024,11.4,2,0,1,1,1,4,0,0.18,0.00,0.18,0.09,0.09,2.0,1.3,2.5,3.8,0.18,0.22,0.40,0.11,0.33,Matches
240,Jason\9038c2a1,es ESP,MF,Alavés,27-194,1994,1,1,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.10,0.12,0.02,0.12,Matches
241,Jason\9038c2a1,es ESP,MFDF,Valencia,27-194,1994,5,1,75,0.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.17,0.24,0.07,0.24,Matches
242,Luis Javier Suárez\eeba07f8,co COL,FWMF,Granada,24-045,1997,20,19,1622,18.0,4,3,4,0,1,4,0,0.22,0.17,0.39,0.22,0.39,5.9,5.1,1.8,6.9,0.33,0.10,0.42,0.28,0.38,Matches
243,Álvaro Jiménez\5f5501ed,es ESP,MFFW,Cádiz,26-242,1995,9,1,234,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches
244,Joaquín\4c5b14d2,es ESP,FW,Betis,40-179,1981,9,0,117,1.3,0,1,0,0,0,0,0,0.00,0.77,0.77,0.00,0.77,0.4,0.4,0.7,1.1,0.32,0.55,0.86,0.32,0.86,Matches
245,Jofre\030ef8d6,es ESP,DFMF,Espanyol,20-213,2001,2,0,16,0.2,0,1,0,0,0,0,0,0.00,5.63,5.63,0.00,5.63,0.0,0.0,0.3,0.3,0.00,1.97,1.97,0.00,1.97,Matches
246,Frenkie de Jong\1bacc518,nl NED,MF,Barcelona,24-249,1997,16,15,1301,14.5,1,2,1,0,0,4,1,0.07,0.14,0.21,0.07,0.21,1.8,1.8,2.0,3.8,0.12,0.14,0.27,0.12,0.27,Matches
247,Luuk de Jong\abb3bb95,nl NED,FW,Barcelona,31-142,1990,11,5,476,5.3,3,0,3,0,0,0,0,0.57,0.00,0.57,0.57,0.57,2.3,2.3,0.2,2.5,0.43,0.04,0.46,0.43,0.46,Matches
248,Joan Jordán\2a0c8ba4,es ESP,MF,Sevilla,27-194,1994,20,17,1378,15.3,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.8,1.6,0.05,0.05,0.10,0.05,0.10,Matches
249,Josan\5b28b2f6,es ESP,DFMF,Elche,32-044,1989,14,6,601,6.7,1,1,1,0,0,1,0,0.15,0.15,0.30,0.15,0.30,0.6,0.6,1.1,1.8,0.09,0.17,0.26,0.09,0.26,Matches
250,Willian José\d87e2cae,br BRA,FW,Betis,30-054,1991,16,13,1023,11.4,6,4,4,2,2,2,0,0.53,0.35,0.88,0.35,0.70,4.5,3.0,2.3,5.3,0.40,0.20,0.60,0.26,0.47,Matches
251,Joselu\6265208f,es ESP,FW,Alavés,31-295,1990,20,18,1669,18.5,10,2,5,5,5,0,0,0.54,0.11,0.65,0.27,0.38,7.3,3.5,2.3,5.8,0.39,0.13,0.52,0.19,0.31,Matches
252,Josema\ed3f5f4c,es ESP,DF,Elche,25-224,1996,6,1,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
253,Luka Jović\4d8cd038,rs SRB,FW,Real Madrid,24-024,1997,10,0,217,2.4,1,2,1,0,0,0,0,0.41,0.83,1.24,0.41,1.24,1.2,1.2,0.8,2.0,0.48,0.33,0.81,0.48,0.81,Matches
